,,mass A_position,,,mass B_position,,,mass C_position,,,mass D_position,,,mass E_position,,,mass F_position,,,mass G_position,,,mass H_position,,,mass I_position,
load(kg),,x_target,y_target,,x_target,y_target,,x_target,y_target,,x_target,y_target,,x_target,y_target,,x_target,y_target,,x_target,y_target,,x_target,y_target,,x_target,y_target
0,,3.417,-2.667,,3.282,90.112,,99.875,19.494,,100.626,93.768,,173.252,87.195,,166.087,37.875,,240.893,86.126,,241.124,60.83,,290.94,93.62
0.15,,3.972,-3.108,,3.569,89.138,,100.386,19.445,,101.237,93.205,,173.387,86.219,,166.072,37.742,,240.966,84.641,,241.12,59.886,,290.54,91.41
0.24,,4.003,-2.726,,3.594,89.14,,100.017,19.798,,101.316,93.166,,173.849,86.247,,166.125,38.246,,241.437,83.882,,241.616,59.543,,290.32,90.22
0.3,,3.81,-2.671,,3.471,89.522,,99.657,20.212,,101.193,93.359,,173.816,86.029,,166.203,38.788,,241.424,83.137,,241.643,59.232,,290.08,88.66
0.42,,3.892,-2.772,,3.807,89.664,,99.073,21.032,,101.552,93.316,,173.877,85.875,,166.051,40.096,,241.473,81.037,,241.61,58.31,,289.34,84.75
0.51,,3.882,-2.742,,3.87,89.654,,98.993,22.733,,101.655,93.299,,173.885,85.325,,165.907,41.58,,241.603,78.445,,241.648,56.938,,288.53,79.01
0.61,,3.99,-2.74,,3.916,89.587,,97.85,24.529,,101.901,93.088,,173.979,84.29,,165.356,44.268,,240.995,73.319,,241.062,54.106,,286.17,69.63
0.65,,3.842,-2.659,,3.738,89.719,,97.028,25.756,,102.336,93.415,,173.944,82.929,,164.374,46.607,,240.35,69.897,,238.959,52.7,,284.32,62.84
0.7,,3.881,-2.955,,3.755,89.331,,95.256,28.734,,102.857,93.355,,174.017,79.924,,163.375,49.678,,238.251,59.632,,236.442,46.363,,278.74,45.99
1,,4.549,-3.138,,4.609,89.238,,95.764,28.939,,103.065,92.991,,174.083,79.327,,163.374,49.518,,237.892,58.386,,235.961,45.358,,278,43.91